"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Cerundolo F.","Mensik J.",2,1.8,20.32,79.68,"Mensik J.",FALSE,"Mensik J.",FALSE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Bu Y.","Shang J.",3.5,1.3,4.29,95.71,"Shang J.",FALSE,"Shang J.",FALSE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Musetti L.","Bergs Z.",1.62,2.3,99.8,0.2,"Musetti L.",TRUE,"Musetti L.",TRUE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Medvedev D.","Monfils G.",1.2,4.5,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Bautista Agut R.","Rinderknech A.",1.67,2.2,99.91,0.09,"Bautista Agut R.",TRUE,"Bautista Agut R.",TRUE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Khachanov K.","Carballes Baena R.",1.33,3.4,100,0,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Alcaraz C.","Mpetshi G.",1.06,10,100,0,"Alcaraz C.",TRUE,"Alcaraz C.",TRUE,FALSE,54
2024-09-27,54,"China Open","1st Round","Hard","Outdoor","Davidovich Fokina A.","Zhang Zh.",2.2,1.67,96.71,3.29,"Davidovich Fokina A.",TRUE,"Zhang Zh.",FALSE,FALSE,54
2024-09-25,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Navone M.","Darderi L.",2.3,1.62,13.98,86.02,"Darderi L.",FALSE,"Darderi L.",FALSE,FALSE,55
2024-09-25,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Berrettini M.","Van De Zandschulp B.",1.25,4,96.49,3.51,"Berrettini M.",TRUE,"Berrettini M.",TRUE,FALSE,55
2024-09-25,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Hurkacz H.","Giron M.",1.36,3.2,100,0,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Nishioka Y.","Auger-Aliassime F.",3.2,1.36,19.53,80.47,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Paul T.","Arnaldi M.",1.33,3.4,84.35,15.65,"Paul T.",TRUE,"Paul T.",TRUE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Machac T.","Popyrin A.",2.38,1.57,8.39,91.61,"Popyrin A.",FALSE,"Popyrin A.",FALSE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Michelsen A.","Tsitsipas S.",2.5,1.53,0.01,99.99,"Tsitsipas S.",FALSE,"Tsitsipas S.",FALSE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Nakashima B.","Tiafoe F.",2.1,1.73,0.05,99.95,"Tiafoe F.",FALSE,"Tiafoe F.",FALSE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","O Connell C.","Etcheverry T.",1.73,2.1,7.33,92.67,"Etcheverry T.",FALSE,"O Connell C.",TRUE,TRUE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Rune H.","Tabilo A.",1.5,2.63,99.8,0.2,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Fils A.","Fritz T.",3.5,1.3,6.76,93.24,"Fritz T.",FALSE,"Fritz T.",FALSE,FALSE,55
2024-09-26,55,"Japan Open Tennis Championships","1st Round","Hard","Outdoor","Thompson J.","Ruud C.",2.2,1.67,0.92,99.08,"Ruud C.",FALSE,"Ruud C.",FALSE,FALSE,55
