player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Li Zh.,-3.0102806697462228,2.408942630353712,62,0.35,3
Saville L.,-2.195786956188217,2.6658565322819543,62,0.35,3
Mo Y.,-2.451138113179902,2.5574706530019746,62,0.35,3
Te R.,-2.732187809786751,2.4465707467742908,62,0.35,3
Blockx A.,-2.9867507547611387,2.2585791087876586,62,0.35,3
Friberg K.,-2.581336161828405,2.494994704491702,62,0.35,3
Hassan B.,-3.4271181094468828,2.0630462467139363,62,0.35,3
Bourgue M.,-2.3662857680392273,2.605384583073528,62,0.35,3
Hemery C.,-3.670171956800649,2.1734343445406203,62,0.35,3
Martineau M.,-2.9475484576693547,2.286090174777821,62,0.35,3
Mccabe J.,-4.000277940981199,2.357854334259417,62,0.35,3
Kopriva V.,-3.482288300793829,2.0002278116108205,62,0.35,3
Jasika O.,-1.8800647178869887,2.7453876613265042,62,0.35,3
Escoffier A.,-2.668801402056759,2.5066028645836615,62,0.35,3
Sandgren T.,-2.478264784670004,2.5487508129605922,62,0.35,3
Neff A.,-2.530202020376874,2.483434142517173,62,0.35,3
Blanch D.,-2.436412891180005,2.4074325166258648,62,0.35,3
Faria J.,-3.8151570005234103,2.640267608942855,62,0.35,3
Dougaz A.,-2.7884019156199966,2.4181465096375994,62,0.35,3
Sanchez Izquierdo N.,-2.10528715472541,2.7208993979752027,62,0.35,3
Barranco Cosano J.,-2.7603531103340693,2.504647194503182,62,0.35,3
Fanselow S.,-2.833529832418977,2.3465332829706145,62,0.35,3
Searle H.,-2.7711289187307027,2.309782340337885,62,0.35,3
Janvier M.,-2.6890259914019703,2.4301855117246354,62,0.35,3
Broom C.,-2.4046883020313197,2.54136108838622,62,0.35,3
Pellegrino A.,-2.9556654348329947,2.3984203943456466,62,0.35,3
Collarini A.,-3.005038241982458,2.4165058513563276,62,0.35,3
Schwaerzler J.,-2.594824177324667,2.406581178238693,62,0.35,3
Mikrut L.,-3.679812152681555,2.207137347820095,62,0.35,3
Poljicak M.,-2.40435310421786,2.5921164471779927,62,0.35,3
Mejia N.,-3.107913424004776,2.3359228931113303,62,0.35,3
Kasnikowski M.,-2.963362298778212,2.3785927549967005,62,0.35,3
Jacquet K.,-1.764482905403043,2.7749018688871927,62,0.35,3
Forbes M.,-2.5097636820964526,2.504394590127415,62,0.35,3
Sun F.,-2.6058255810630553,2.55548701771279,62,0.35,3
Collignon R.,-2.6721790349931815,2.4111533708144313,62,0.35,3
Bailly G.,-2.928799719471569,2.4056728420526006,62,0.35,3
Kym J.,-1.9823961688000076,2.767983111676361,62,0.35,3
Giron M.,2.6944120041347572,0.18705066985419244,63,0.35,3
Mcdonald M.,2.619515887204888,0.19300120055974532,63,0.35,3
Kecmanovic M.,2.6392804943486685,0.18560777573678197,63,0.35,3
Nishioka Y.,2.574126922583953,0.21108798970083034,63,0.35,3
Popyrin A.,2.6826935833490424,0.19973939051376213,63,0.35,3
Halys Q.,2.8639131111275202,0.25611642797708567,63,0.35,3
Safiullin R.,2.8341971568447373,0.19818780791341237,63,0.35,3
Draper J.,3.974037090984859,0.23298846647288388,63,0.35,3
Kokkinakis T.,3.198153716590586,0.2350748688830627,63,0.35,3
Medvedev D.,5.162034220671935,0.20791925794117683,63,0.35,3
Khachanov K.,3.998834737150096,0.2187349206110762,63,0.35,3
Djokovic N.,6.265660802744464,0.28360940885769553,63,0.35,3
Sinner J.,5.392413797598018,0.22451895966231086,63,0.35,3
Shapovalov D.,2.8555496327157925,0.22199934346768266,63,0.35,3
Bautista Agut R.,2.8792010842200124,0.20724898443274098,63,0.35,3
Korda S.,3.516542331196725,0.21730843050472343,63,0.35,3
Bonzi B.,2.0717775695571357,0.24990378355991114,63,0.35,3
Carballes Baena R.,2.6519131503497064,0.19983617875634857,63,0.35,3
Mmoh M.,2.8526267963221636,0.28383733229209124,63,0.35,3
Griekspoor T.,3.2513728008004565,0.20676728943892322,63,0.35,3
Djere L.,2.7832836317089558,0.19924513134781588,63,0.35,3
Cecchinato M.,1.791524328832788,0.26243712174073947,63,0.35,3
Krajinovic F.,1.0674335441084246,0.4171488990599636,63,0.35,3
Van Rijthoven T.,0.7482458379586402,0.7275928773756333,63,0.35,3
Marterer M.,1.9177930806127113,0.27036638175459077,63,0.35,3
Martinez P.,1.8253988314267815,0.2690546658608965,63,0.35,3
