"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Thompson J.","Kotov P.",1.22,4.33,33.73,66.27,"Kotov P.",FALSE,"Thompson J.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Berrettini M.","Fucsovics M.",1.17,5,45.3,54.7,"Fucsovics M.",FALSE,"Berrettini M.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Nakashima B.","Baez S.",1.14,5.5,12.8,87.2,"Baez S.",FALSE,"Nakashima B.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Monfils G.","Mannarino A.",1.53,2.5,53.19,46.81,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Medvedev D.","Kovacevic A.",1.01,23,100,0,"Medvedev D.",TRUE,"Medvedev D.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Cazaux A.","Bergs Z.",3.2,1.36,5.97,94.03,"Bergs Z.",FALSE,"Bergs Z.",FALSE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Humbert U.","Shevchenko A.",1.14,5.5,81.95,18.05,"Humbert U.",TRUE,"Humbert U.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Vukic A.","Ofner S.",1.67,2.2,9.87,90.13,"Ofner S.",FALSE,"Vukic A.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Bublik A.","Mensik J.",1.44,2.75,26.07,73.93,"Mensik J.",FALSE,"Bublik A.",TRUE,TRUE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Sonego L.","Navone M.",1.07,9,71.75,28.25,"Sonego L.",TRUE,"Sonego L.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Paul T.","Martinez P.",1.02,19,99.94,0.06,"Paul T.",TRUE,"Paul T.",TRUE,FALSE,39
2024-07-01,39,"Wimbledon","1st Round","Grass","Outdoor","Kecmanovic M.","Nagal S.",1.07,9,95.34,4.66,"Kecmanovic M.",TRUE,"Kecmanovic M.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Nishioka Y.","Borges N.",1.8,2,97.18,2.82,"Nishioka Y.",TRUE,"Nishioka Y.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Mpetshi G.","Korda S.",4.33,1.22,7.33,92.67,"Korda S.",FALSE,"Korda S.",FALSE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Musetti L.","Lestienne C.",1.1,7,100,0,"Musetti L.",TRUE,"Musetti L.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","De Minaur A.","Duckworth J.",1.05,11,99.99,0.01,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Popyrin A.","Monteiro T.",1.33,3.4,99.27,0.73,"Popyrin A.",TRUE,"Popyrin A.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Etcheverry T.","Nardi L.",1.57,2.38,99.56,0.44,"Etcheverry T.",TRUE,"Etcheverry T.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Zverev A.","Carballes Baena R.",1.01,29,100,0,"Zverev A.",TRUE,"Zverev A.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Tsitsipas S.","Daniel T.",1.05,11,99.97,0.03,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,39
