ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,2,0.46414805348950144,0.569954161742339,0.48846926020940823,0.2712012675697015,0.46414805348950144,0.48846926020940823,0.569954161742339,0.2712012675697015,0.63118766941285,-0.038532449061514644,0.48463158003866375,0.5153684199613362,Safiullin R.,FALSE,Seyboth Wild T.,TRUE,28,All_2024_R1
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Kecmanovic M.,Zhang Zh.,66,49,830,1038,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.22,1.68,2.17,2,0.08141210664616305,0.2503621311439937,0.2797873372762151,0.26997734808907053,0.08141210664616305,0.2797873372762151,0.2503621311439937,0.26997734808907053,0.3681969108943874,-0.5387748369430331,0.2950211141641968,0.7049788858358033,Zhang Zh.,FALSE,Kecmanovic M.,TRUE,28,All_2024_R1
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Moutet C.,Safiullin R.,83,39,715,1138,3,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.1,1.81,2.1,1.76,2.06,1,-0.3405160044989156,0.4254078343553388,0.4562264206649498,0.26746376976270975,-0.3405160044989156,0.4562264206649498,0.4254078343553388,0.26746376976270975,0.5025024315031512,-1.5855493928269062,0.05642078198388706,0.9435792180161129,Safiullin R.,FALSE,Moutet C.,TRUE,29,All_2024_R1
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Evans D.,92,67,650,806,6,4,3,6,6,2,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.64,2.38,1.64,2.68,1.56,2.43,1,-0.1578345894284191,0.5652751562567015,0.17643487956941176,0.2496164147564755,-0.1578345894284191,0.17643487956941176,0.5652751562567015,0.2496164147564755,0.6179355603919515,-0.5409455134541964,0.29427256942225216,0.7057274305777479,Evans D.,FALSE,Fognini F.,TRUE,29,All_2024_R1
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Karatsev A.,Mcdonald M.,86,76,675,735,4,6,6,3,6,4,NA,NA,NA,NA,2,1,Completed,1.25,4,1.29,3.9,1.3,4,1.27,3.67,1,0.1987013603860956,0.2902386656874353,0.2356456036196329,0.23324930131766816,0.1987013603860956,0.2356456036196329,0.2902386656874353,0.23324930131766816,0.37234892188000646,-0.09921941776279133,0.4604820288927236,0.5395179711072764,Mcdonald M.,FALSE,Karatsev A.,TRUE,29,All_2024_R1
30,Geneva,Geneva Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Baez S.,Nagal S.,20,94,1985,646,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.2,4.5,1.23,4.43,1.25,4.54,1.22,4.24,2,0.1543403918091815,0.2511606727732296,0.3045460466330035,0.8348812653629717,0.1543403918091815,0.3045460466330035,0.2511606727732296,0.8348812653629717,0.8718419643501786,-0.17228541520799215,0.4316065749439756,0.5683934250560244,Nagal S.,FALSE,Baez S.,TRUE,30,All_2024_R1
30,Geneva,Geneva Open,2024-05-21,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Murray A.,85,75,682,728,7,5,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.7,2.26,1.72,2.41,1.64,2.23,2,-0.1403869469728574,0.2774151934734832,0.17045375902134002,0.28320834239991244,-0.1403869469728574,0.17045375902134002,0.2774151934734832,0.28320834239991244,0.3964418680901856,-0.7840763829805308,0.21649764613633504,0.783502353863665,Murray A.,FALSE,Hanfmann Y.,TRUE,30,All_2024_R1
31,Lyon,Lyon Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Vukic A.,Mcdonald M.,93,74,647,735,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.65,2.31,1.68,2.31,1.64,2.25,2,-0.07457094821699166,0.2979299379476706,0.21954883773502504,0.23922289401373656,-0.07457094821699166,0.21954883773502504,0.2979299379476706,0.23922289401373656,0.3820861695296105,-0.7697734422423875,0.22071714804616618,0.7792828519538338,Mcdonald M.,FALSE,Vukic A.,TRUE,31,All_2024_R1
31,Lyon,Lyon Open,2024-05-20,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Evans D.,73,60,739,831,6,3,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.68,2.3,1.73,2.3,1.66,2.19,1,-0.2342686208707907,0.3147756333218365,0.14893440212681858,0.24798936720137843,-0.2342686208707907,0.14893440212681858,0.3147756333218365,0.24798936720137843,0.4007273706375737,-0.9562686531442002,0.16946826135597243,0.8305317386440276,Evans D.,FALSE,Rinderknech A.,TRUE,31,All_2024_R1
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Muller A.,Nardi L.,90,72,670,748,6,4,6,1,6,3,NA,NA,NA,NA,3,0,Completed,1.53,2.5,1.6,2.52,1.62,2.54,1.56,2.44,3,-0.5198995090923635,0.441406645478832,0.1643953659561994,0.8294616202799423,-0.5198995090923635,0.1643953659561994,0.441406645478832,0.8294616202799423,0.9395990667248997,-0.7282839024455035,0.23321990715691007,0.7667800928430899,Nardi L.,FALSE,Muller A.,TRUE,32,All_2024_R1
