ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,pred,ttt_correct,pred_fat,ttt_fat_correct,bookie_pred,bookie_correct,theta_used
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Machac T.,Wawrinka S.,63,70,868,797,7,6,4,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.55,2.6,1.55,2.63,1.52,2.54,31,2.0711464619689,0.5090814302339137,2.1918862806614965,0.29223321735336777,0,0,2.0711464619689,2.1918862806614965,0.5090814302339137,0.29223321735336777,0.41851611106264053,0.41851611106264053,Wawrinka S.,FALSE,Wawrinka S.,FALSE,Machac T.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Lestienne C.,Kudla D.,100,179,606,342,3,6,6,2,6,4,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.87,2.02,1.87,2.1,1.79,2.02,27,0.7776930361750822,0.39623203201842894,1.758107114385162,0.63732451035251525,0,0,0.7776930361750822,1.758107114385162,0.39623203201842894,0.63732451035251525,0.09570376002041382,0.0957037600204138,Kudla D.,FALSE,Kudla D.,FALSE,Lestienne C.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,23,1.9669441494568716,0.32148068015050896,2.0038260528886807,0.348459410259987,0,0,1.9669441494568716,2.0038260528886807,0.32148068015050896,0.348459410259987,0.4689963592424785,0.4689963592424785,Ofner S.,FALSE,Ofner S.,FALSE,Coric B.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Seyboth Wild T.,Wolf J.J.,65,94,820,640,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.64,2.39,1.65,2.43,1.6,2.35,15,1.2058818744938034,0.5406215787342545,1.9585335282805338,0.27072369746767677,0,0,1.2058818744938034,1.9585335282805338,0.5406215787342545,0.27072369746767677,0.10659562093207209,0.1065956209320721,Wolf J.J.,FALSE,Wolf J.J.,FALSE,Seyboth Wild T.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Muller A.,Grenier H.,88,146,689,455,7,6,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.89,2,1.89,2.02,1.82,1.98,25,1.4208831194142773,0.4127142386251645,1.9414595131658685,0.6597166661283602,0,0,1.4208831194142773,1.9414595131658685,0.4127142386251645,0.6597166661283602,0.2517575272749194,0.2517575272749194,Grenier H.,FALSE,Grenier H.,FALSE,Muller A.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,31,1.430526394743002,0.5754371312220584,2.194457599771426,0.34353828103127304,0,0,1.430526394743002,2.194457599771426,0.5754371312220584,0.34353828103127304,0.12716752878365126,0.12716752878365126,Kotov P.,FALSE,Kotov P.,FALSE,Tabilo A.,TRUE,-0.03309699410245063
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Van De Zandschulp B.,131,82,485,750,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.68,2.3,1.7,2.3,1.64,2.24,17,1.969727680203135,0.3585968569225306,2.161592008881324,0.27642306041770864,0,0,1.969727680203135,2.161592008881324,0.3585968569225306,0.27642306041770864,0.33587190298934855,0.3358719029893485,Van De Zandschulp B.,FALSE,Van De Zandschulp B.,FALSE,Shapovalov D.,TRUE,-0.03309699410245063
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,21,1.2809456839322735,0.3757435443147925,2.109094911545459,0.3378619730233673,0,0,1.2809456839322735,2.109094911545459,0.3757435443147925,0.3378619730233673,0.050616302543292004,0.05061630254329199,Kotov P.,FALSE,Kotov P.,FALSE,Van Assche L.,TRUE,-0.033467965220428546
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Darderi L.,126,75,505,771,6,3,6,7,6,4,NA,NA,NA,NA,2,1,Completed,1.25,4,1.25,4.37,1.3,4.37,1.24,3.95,32,2.0549881676363886,0.35124213041041397,2.136003477450545,0.8430878653528782,0,0,2.0549881676363886,2.136003477450545,0.35124213041041397,0.8430878653528782,0.46465881356044225,0.46465881356044225,Darderi L.,FALSE,Darderi L.,FALSE,Shapovalov D.,TRUE,-0.033467965220428546
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Klein L.,73,128,776,502,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.77,2.21,1.72,2.1,21,2.105096717994246,0.46483256119862254,2.5485092659220507,0.9929156210603257,0,0,2.105096717994246,2.5485092659220507,0.46483256119862254,0.9929156210603257,0.34294098629180514,0.34294098629180514,Klein L.,FALSE,Klein L.,FALSE,Michelsen A.,TRUE,-0.033467965220428546
