player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Landaluce M.,-3.2702000703432885,2.1787945356654768,20,0.35,3
Napolitano S.,-4.5235215462836385,2.3107240335779315,20,0.35,3
Sachko V.,-3.5031918585669772,2.074862680991038,20,0.35,3
Serdarusic N.,-2.5041693316605604,2.5389671559776126,20,0.35,3
Travaglia S.,-2.2980508366641073,2.468164301494136,20,0.35,3
Roca Batalla O.,-2.6876625367539346,2.4302837235485937,20,0.35,3
Lopez San Martin A.,-2.847579282777067,2.382307081484101,20,0.35,3
Skatov T.,-2.140611417432551,2.4957807195201447,20,0.35,3
Berankis R.,-2.381921907970072,2.5638469539542443,20,0.35,3
Kyrgios N.,-2.6080861134280138,2.5068664620877565,20,0.35,3
Wessels L.,-2.114869206941911,2.7438059543262194,20,0.35,3
Loffhagen G.,1.7019850060375938,1.1519793048024547,20,0.35,3
Novak D.,-2.8667077509006935,2.296088303845916,20,0.35,3
Fery A.,-1.431589692749302,2.9515176894617903,20,0.35,3
Madaras D.,-2.9898784006118273,2.437640235516357,20,0.35,3
Virtanen O.,-3.3499413889178116,2.1192859667795183,20,0.35,3
Spizzirri E.,-3.034736574950006,2.340742860093624,20,0.35,3
Chung Y.,-3.7715060074578073,2.186067877615571,20,0.35,3
Martin A.,-2.6061371739770354,2.4878290687188405,20,0.35,3
Molleker R.,-2.7961007658094745,2.449631682606281,20,0.35,3
Ajdukovic D.,-3.3106416454249463,2.249739451702218,20,0.35,3
Lama G.,-2.8974374622381944,2.432303728615651,20,0.35,3
Mansouri S.,-1.7450252246774114,2.84433019699155,20,0.35,3
Klahn B.,-2.4315948703555033,2.548734793366857,20,0.35,3
Fratangelo B.,-1.945604907883165,2.746294500160128,20,0.35,3
Galarneau A.,-2.157254412145143,2.6799431650426704,20,0.35,3
Marchenko I.,-2.487981644710694,2.5455088244760047,20,0.35,3
King D.,-2.298131603989139,2.631348024738524,20,0.35,3
